Col0,Col2,Col3,Col5,Col6,Col8,Col9,Col10,Col11
Кар. Обл Темиртау Сакена Сейфуллина 51,3.82,2.66,5.0,4.98,682,0,1%,1760
В-К Обл Семей Мамай батыра 99,10.38,2.27,4.99,4.983,1448,0,4%,1470
В-К Обл Усть-Каменогорск Крылова 80,2.91,2.26,4.98,4.962,1711,0,2%,1520
Кар. Обл Балхаш мкр Шашубая 8Б,8.4,2.66,4.99,4.98,923,0,3%,1250
В-К Обл Усть-Каменогорск Карбышева 40,3.76,2.26,4.98,4.962,1497,0,3%,1880
Атыр. Обл Атырау мкр Нурсая 18,1.73,1.81,4.96,4.957,2395,0,2%,1580
Актюбинская область Актобе Есет Батыра 158,1.67,1.62,4.96,4.982,1614,0,3%,1120
Пав. Обл Павлодар Естая 150,1.63,2.18,4.92,4.969,1249,0,4%,1300
В-К Обл Усть-Каменогорск Жастар 31,3.38,2.26,4.92,4.962,661,0,0%,1660
Атыр. Обл Атырау Мусы Баймуханова 21,1.64,1.81,4.97,4.957,825,0,1%,1200
В-К Обл Алтай Тауелсыздык 17,1.73,2.26,4.99,4.962,2091,0,3%,1340
Ман. Обл Жанаозен мкр Самал 28,6.44,1.38,4.9,4.963,2959,0,5%,990
